density,chlorides,volatileacidity,quality
0.9978,0.076,0.7,5
0.9968,0.098,0.88,5
0.997,0.092,0.76,5
0.998,0.075,0.28,6
0.9978,0.076,0.7,5
0.9978,0.075,0.66,5
0.9964,0.069,0.6,5
0.9946,0.065,0.65,7
0.9968,0.073,0.58,7
0.9978,0.071,0.5,5
0.9959,0.097,0.58,5
0.9978,0.071,0.5,5
0.9943,0.089,0.615,5
0.9974,0.114,0.61,5
0.9986,0.176,0.62,5
0.9986,0.17,0.62,5
0.9969,0.092,0.28,7
0.9968,0.368,0.56,5
0.9974,0.086,0.59,4
0.9969,0.341,0.32,6
0.9968,0.077,0.22,6
0.9982,0.082,0.39,5
0.9966,0.106,0.43,5
0.9968,0.084,0.49,5
0.9968,0.085,0.4,6
0.9955,0.08,0.39,5
0.9962,0.08,0.41,5
0.9966,0.106,0.43,5
0.9972,0.08,0.71,5
0.9964,0.082,0.645,6
0.9958,0.089,0.675,5
0.9966,0.105,0.685,6
0.9966,0.083,0.655,5
0.9993,0.073,0.605,6
0.9957,0.103,0.32,5
0.9986,0.086,0.645,6
0.9975,0.086,0.6,6
0.9968,0.066,0.38,7
0.994,0.172,1.13,4
0.9978,0.074,0.45,5
0.9978,0.074,0.45,5
0.9976,0.088,0.61,4
0.9968,0.332,0.49,6
0.9968,0.069,0.66,5
0.9962,0.05,0.67,5
0.9934,0.054,0.52,4
0.997,0.114,0.935,5
0.9969,0.113,0.29,5
0.9958,0.066,0.4,5
0.9954,0.074,0.31,5
0.9971,0.074,0.66,5
0.9956,0.069,0.52,6
0.9955,0.068,0.5,6
0.997,0.081,0.38,5
0.9955,0.11,0.51,6
0.9978,0.084,0.62,5
0.9971,0.07,0.42,5
0.9983,0.111,0.63,5
0.9975,0.076,0.59,5
0.9962,0.074,0.39,6
0.998,0.079,0.4,5
0.9968,0.115,0.69,5
0.9968,0.085,0.52,7
0.9966,0.081,0.735,5
0.9962,0.086,0.725,5
0.9962,0.086,0.725,5
0.9968,0.079,0.52,5
0.9962,0.076,0.705,5
0.9969,0.074,0.32,5
0.9962,0.074,0.705,6
0.9967,0.076,0.63,6
0.9962,0.088,0.67,5
0.9961,0.084,0.69,5
0.9976,0.084,0.675,4
0.9984,0.094,0.32,5
0.9986,0.093,0.41,5
0.9986,0.093,0.41,5
0.9966,0.104,0.785,6
0.9958,0.086,0.75,5
0.9972,0.08,0.625,4
0.9958,0.069,0.45,5
0.9974,0.464,0.43,5
0.997,0.086,0.5,5
0.9969,0.401,0.67,5
0.9959,0.069,0.3,6
0.9961,0.076,0.55,5
0.9972,0.11,0.49,6
0.9966,0.062,0.49,5
0.9978,0.107,0.39,5
0.9978,0.076,0.62,5
0.9964,0.079,0.52,5
0.9972,0.11,0.49,6
0.9972,0.11,0.49,5
0.9966,0.062,0.49,5
0.9938,0.045,1.02,4
0.9932,0.058,0.6,6
0.9965,0.102,0.775,5
0.9963,0.07,0.5,5
0.9967,0.079,0.9,5
0.9972,0.08,0.545,6
0.9972,0.084,0.61,6
0.9959,0.075,0.5,6
0.9972,0.08,0.545,6
0.9967,0.077,0.575,5
0.996,0.07,0.49,5
0.9967,0.077,0.575,5
0.9973,0.467,0.41,5
0.9969,0.088,0.63,5
0.9976,0.091,0.33,6
0.9969,0.122,0.785,5
0.9964,0.104,0.56,5
0.9964,0.084,0.62,5
0.9964,0.085,0.6,5
0.9988,0.08,0.31,6
0.9964,0.104,0.56,5
0.9966,0.09,0.4,6
0.9978,0.077,0.54,6
0.997,0.082,0.56,6
0.9962,0.119,0.55,6
0.9959,0.097,0.69,6
0.9962,0.178,1.07,5
0.9962,0.119,0.55,6
0.998,0.075,0.695,5
0.9976,0.08,0.71,5
0.996,0.082,0.5,5
0.9984,0.146,0.62,5
0.9964,0.081,1.33,5
0.9964,0.082,1.33,5
0.9962,0.065,0.59,7
0.9955,0.072,0.38,5
0.9968,0.118,0.745,5
0.9937,0.049,0.5,5
0.9937,0.049,0.5,5
0.9952,0.06,0.5,6
0.9959,0.084,1.04,6
0.9965,0.09,0.745,5
0.9968,0.089,0.715,5
0.9972,0.081,0.415,5
0.9962,0.081,0.56,5
0.9962,0.081,0.56,5
0.9965,0.09,0.745,5
0.9968,0.089,0.715,5
0.9916,0.05,0.34,6
0.9954,0.066,0.39,5
0.9916,0.05,0.34,6
0.9968,0.117,0.67,5
0.9944,0.087,0.68,5
0.9968,0.236,0.49,5
0.9959,0.074,0.49,6
0.9975,0.089,0.4,6
0.9958,0.077,0.33,6
0.9996,0.61,0.52,4
0.995,0.095,0.6,5
0.995,0.095,0.6,5
0.9973,0.07,0.43,5
0.9973,0.071,0.43,5
0.9973,0.07,0.43,5
0.9973,0.071,0.43,5
0.9969,0.073,0.68,5
0.9968,0.079,0.6,6
0.9959,0.09,0.95,5
0.9965,0.072,0.68,4
0.9964,0.076,0.53,6
0.9982,0.07,0.6,5
0.9981,0.07,0.59,5
0.9961,0.1,0.63,5
0.9956,0.085,0.64,5
0.9956,0.072,0.55,4
0.9953,0.089,0.63,6
0.9964,0.36,0.705,5
0.9972,0.058,0.885,4
0.9972,0.073,0.42,6
0.9972,0.073,0.42,6
